_id,verified,user_id,nick_name,gender,province,followers_count,friends_count,source,created_at,city
64a922c3bc97f462cc1ea20c,False,7669035773,一天八百个人设I,0,河南,95,17,河南,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea20d,True,6234630022,举头三尺是饭饭,0,安徽,13043,688,云南,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea20e,False,7468953345,我什么都爱吃,1,上海,492,537,山东,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea20f,True,3882618248,Fs___syusuke,0,广东,358,204,广东,2023-07-08 16:48:03,广州
64a922c3bc97f462cc1ea210,False,5850314070,日暮幻想,1,浙江,51,335,浙江,2023-07-08 16:48:03,杭州
64a922c3bc97f462cc1ea211,False,7468953345,我什么都爱吃,1,上海,492,537,山东,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea212,False,7194481092,骂我的话会倒霉,0,其他,146,255,广东,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea213,True,3094723073,迷失独角兽,0,北京,1016226,252,北京,2023-07-08 16:48:03,海淀区
64a922c3bc97f462cc1ea214,True,6172789130,-孤影临冰镜-,0,吉林,226,85,吉林,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea215,False,5139126204,关伯兰在笑呢,0,海外,546,1023,澳大利亚,2023-07-08 16:48:03,英国
64a922c3bc97f462cc1ea216,True,2871033210,嗑瓜子不能停,0,北京,6015746,905,北京,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea217,True,5531610171,卉I坤,0,其他,259372,182,黑龙江,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea218,False,5366720146,第一眼的意中人,1,其他,754522,22,陕西,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea219,False,5623942594,oneonezerosix,0,其他,306,429,四川,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea21a,True,6920624251,南来北往不遇卿_,0,其他,93,165,广西,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea21b,True,2487453031,超能摄影阳阳,1,北京,433681,668,北京,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea21c,False,6621082300,August在初夏0802,0,其他,40,202,浙江,2023-07-08 16:48:03,
64a922c3bc97f462cc1ea21d,True,6782840209,小民奇迹岛,0,河北,5500,841,河北,2023-07-08 16:48:03,
